populationDensity
Country Name,Country Code,Population Density (people per square km)
Aruba,ABW,596.166666666667
Africa Eastern and Southern,AFE,49.2972007384894
Afghanistan,AFG,62.2155405301811
Africa Western and Central,AFW,54.9855916127898
Angola,AGO,28.5834835966953
Albania,ALB,101.375510948905
Andorra,AND,169.585106382979
Arab World,ARB,35.9918336255039
United Arab Emirates,ARE,141.861123627147
Argentina,ARG,16.5922716858687
Armenia,ARM,104.292237442922
American Samoa,ASM,241.71
Antigua and Barbuda,ATG,211
Australia,AUS,3.38199835673854
Austria,AUT,109.571631119729
Azerbaijan,AZE,122.707271627344
Burundi,BDI,518.734306853583
Belgium,BEL,383.033055683085
Benin,BEN,122.024663001064
Burkina Faso,BFA,82.2698757309942
Bangladesh,BGD,1301.25909963893
Bulgaria,BGR,61.1949521002211
Bahrain,BHR,1929.99113924051
"Bahamas, The",BHS,39.7140859140859
Bosnia and Herzegovina,BIH,62.5937890625
Belarus,BLR,45.4607172767131
Belize,BLZ,17.6559842174485
Bermuda,BMU,1199.05555555556
Bolivia,BOL,11.1484851841595
Brazil,BRA,25.161867951482
Barbados,BRB,656.553488372093
Brunei Darussalam,BRN,86.4079696394687
Bhutan,BTN,20.4749344520189
Botswana,BWA,4.30521059411007
Central African Republic,CAF,8.18331086070179
Canada,CAN,4.43058199733749
Central Europe and the Baltics,CEB,90.7676782196085
Switzerland,CHE,222.150599739861
Channel Islands,CHI,
Chile,CHL,26.2975043441304
China,CHN,150.42004812419
Cote d'Ivoire,CIV,95.5817672955975
Cameroon,CMR,58.4560745488777
"Congo, Dem. Rep.",COD,45.1674943208134
"Congo, Rep.",COG,17.6723396778917
Colombia,COL,46.6317656602073
Comoros,COM,448.247178936056
Cabo Verde,CPV,128.967990074442
Costa Rica,CRI,99.5253623188406
Caribbean small states,CSS,7.96015257947297
Cuba,CUB,106.549325626204
Curacao,CUW,337.828828828829
Cayman Islands,CYM,298.295833333333
Cyprus,CYP,144.087662337662
Czechia,CZE,138.290511305111
Germany,DEU,239.861418021525
Djibouti,DJI,49.0550474547023
Dominica,DMA,89.1013333333333
Denmark,DNK,147.575925
Dominican Republic,DOM,233.012351959686
Algeria,DZA,19.0941790060296
East Asia & Pacific (excluding high income),EAP,133.338264665834
Early-demographic dividend,EAR,104.215136704616
East Asia & Pacific,EAS,97.3352488628978
Europe & Central Asia (excluding high income),ECA,42.4584548403521
Europe & Central Asia,ECS,33.7231954793762
Ecuador,ECU,71.7663754227734
"Egypt, Arab Rep.",EGY,113.13300517354
Euro area,EMU,127.410437652607
Eritrea,ERI,28.1677432992466
Spain,ESP,95.5729827216798
Estonia,EST,31.5665808565411
Ethiopia,ETH,111.100003951899
European Union,EUU,112.05440196746
Fragile and conflict affected situations,FCS,50.7660980253332
Finland,FIN,18.2798093224591
Fiji,FJI,50.3241379310345
France,FRA,124.306720578862
Faroe Islands,FRO,39.3810218978102
"Micronesia, Fed. Sts.",FSM,160.162857142857
Gabon,GAB,9.43356618931191
United Kingdom,GBR,280.209151407432
Georgia,GEO,64.9515728331992
Ghana,GHA,145.689425270181
Gibraltar,GIB,
