ISO_A3,Country or region,"Gross domestic product (USD per capita), 2018","Average theoretical potential (GHI, kWh/m2/day), 
long-term","Average practical potential 
(PVOUT Level 1, 
kWh/kWp/day), long-term","Average economic potential (LCOE, USD/kWh), 2018","Average PV 
seasonality index, long-term","Access to electricity
(% of rural population), 2016"
ABW,Aruba (Neth.),"25,630",6.11,4.96,0.09,1.18,92.5
AFG,Afghanistan,521,5.49,5.02,0.09,1.67,79.0
AGO,Angola,"3,432",5.75,4.66,0.09,1.32,16.0
ALB,Albania,"5,254",4.20,4.04,0.11,2.33,100.0
AND,Andorra,"42,030",4.05,4.20,0.10,2.15,100.0
ARE,United Arab Emirates,"43,005",6.05,5.00,0.08,1.18,100.0
ARG,Argentina,"11,653",5.12,4.60,0.11,1.62,100.0
ARM,Armenia,"4,212",4.22,4.11,0.10,2.41,100.0
ASM,American Samoa (U.S.),"11,399",4.92,3.98,0.11,1.30,45
ATG,Antigua and Barbuda,"16,864",5.75,4.77,0.09,1.19,96.5
AUS,Australia,"57,305",5.76,4.71,0.09,1.47,100.0
AUT,Austria,"51,513",3.21,3.26,0.11,3.19,100.0
AZE,Azerbaijan,"4,721",4.04,3.82,0.11,2.10,100.0
BDI,Burundi,275,5.19,4.17,0.10,1.32,1.7
BEL,Belgium,"46,556",2.94,2.92,0.12,3.98,100.0
BEN,Benin,902,5.33,4.20,0.10,1.41,18.0
BFA,Burkina Faso,731,5.81,4.57,0.09,1.26,0.8
BGD,Bangladesh,"1,698",4.60,3.88,0.11,1.47,68.9
BGR,Bulgaria,"9,273",3.87,3.70,0.11,2.64,100.0
BHR,Bahrain,"24,051",5.75,4.87,0.09,1.30,100.0
BHS,The Bahamas,"31,858",5.36,4.55,0.09,1.29,100.0
BIH,Bosnia and Herzegovina,"5,951",3.66,3.57,0.12,2.73,100.0
BLR,Belarus,"6,290",2.94,2.95,0.14,6.49,100.0
BLZ,Belize,"5,025",5.05,4.18,0.10,1.34,88.4
BMU,Bermuda (U.K.),"123,091.12",4.73,4.18,0.10,1.78,100
BOL,Bolivia,"3,549",5.42,4.94,0.09,1.26,79.1
BRA,Brazil,"8,921",5.28,4.40,0.12,1.34,100.0
BRB,Barbados,"16,328",5.77,4.72,0.09,1.17,100.0
BRN,Brunei Darussalam,"31,628",4.84,3.90,0.11,1.20,100.0
BTN,Bhutan,"3,360",3.94,3.92,0.11,1.61,100.0
BWA,Botswana,"8,259",6.07,5.11,0.08,1.21,37.5
CAF,Central African Republic,510,5.70,4.47,0.10,1.41,0.4
CAN,Canada,"46,211",3.25,3.82,0.18,3.09,100.0
CHE,Switzerland,"82,839",3.36,3.36,0.11,3.28,100.0
CHL,Chile,"15,923",5.76,5.36,0.07,1.76,100.0
CHN,China,"9,771",4.13,3.88,0.07,1.67,100.0
CIV,Côte d'Ivoire,"1,716",5.05,4.00,0.11,1.41,38.1
CMR,Cameroon,"1,527",5.30,4.28,0.10,1.44,21.3
COD,Democratic Republic of Congo,562,5.19,4.26,0.10,1.30,0.4
COG,Congo,"2,148",4.86,3.77,0.11,1.28,22.6
COL,Colombia,"6,651",4.87,4.05,0.11,1.28,95.7
COM,Comoros,"1,445",5.05,4.29,0.10,1.20,72.2
CPV,Cabo Verde,"3,654",5.64,4.68,0.09,1.34,91.8
CRI,Costa Rica,"12,027",4.89,4.09,0.10,1.44,100.0
CUB,Cuba,"8,541",5.41,4.54,0.09,1.25,100.0
CUW,Curaçao (Neth.),"19,458",5.96,4.83,0.09,1.18,100.0
CYM,Cayman Islands (U.K.),"56,334",5.56,4.63,0.09,1.30,100
CYP,Cyprus,"28,159",5.21,4.70,0.09,1.86,100.0
CZE,Czech Republic,"23,079",3.08,3.05,0.12,3.90,100.0
DEU,Germany,"48,196",2.98,2.96,0.11,4.37,100.0
DJI,Djibouti,"2,050",6.06,4.80,0.09,1.36,2.0
DMA,Dominica,"7,032",4.94,3.97,0.11,1.30,100.0
DNK,Denmark,"60,726",2.77,2.84,0.13,6.32,100.0
DOM,Dominican Republic,"7,650",5.42,4.57,0.09,1.19,100.0
DZA,Algeria,"4,279",5.92,4.92,0.09,1.35,99.0
ECU,Ecuador,"6,345",4.30,3.40,0.13,1.37,99.8
EGY,Arab Republic of Egypt,"2,549",6.26,5.25,0.08,1.31,100.0
ERI,Eritrea,626,6.07,4.89,0.09,1.43,39.3
ESP,Spain,"30,524",4.58,4.41,0.08,1.93,100.0
EST,Estonia,"22,928",2.72,2.84,0.13,11.19,100.0
ETH,Ethiopia,772,5.85,4.70,0.09,1.58,26.5
FJI,Fiji,"6,202",4.32,3.82,0.11,1.17,98.0
FRA,France,"41,464",3.48,3.39,0.10,2.97,100.0
FSM,Federated States of Micronesia,"3,058",4.75,3.89,0.11,1.22,70.7
GAB,Gabon,"8,030",4.54,3.60,0.12,1.39,55.0
GBR,United Kingdom,"42,491",2.59,2.61,0.15,5.13,100.0
GEO,Georgia,"4,345",3.72,3.71,0.12,2.24,100.0
GHA,Ghana,"2,202",5.10,4.02,0.11,1.39,66.6
GIN,Guinea,885,5.57,4.44,0.10,1.38,6.9
GMB,The Gambia,712,5.75,4.57,0.09,1.34,15.5
GNB,Guinea-Bissau,778,5.60,4.46,0.10,1.39,4.0
GNQ,Equatorial Guinea,"10,174",4.60,3.67,0.12,1.37,52.6
GRC,Greece,"20,324",4.45,4.14,0.09,2.37,100.0
GRD,Grenada,"10,834",5.41,4.45,0.10,1.22,92.3
GTM,Guatemala,"4,549",5.25,4.39,0.10,1.37,86.4
GUM,Guam (U.S.),"35,665",5.57,4.53,0.09,1.31,100.0
GUY,Guyana,"4,635",5.21,4.20,0.10,1.29,81.9
HKG,"Hong Kong, SAR","48,717",3.91,3.27,0.13,1.47,100
HND,Honduras,"2,483",5.16,4.26,0.10,1.36,72.2
HRV,Croatia,"14,869",3.74,3.63,0.12,2.91,100.0
HTI,Haiti,868,5.54,4.68,0.09,1.15,10
HUN,Hungary,"15,939",3.52,3.44,0.10,3.48,100.0
IDN,Indonesia,"3,894",4.62,3.77,0.11,1.32,94.8
IMN,Isle of Man (U.K.),"79,156",2.72,2.76,0.13,6.05,100.0
IND,India,"2,016",5.10,4.32,0.07,1.75,77.6
IRL,Ireland,"78,806",2.53,2.51,0.14,4.49,100.0
IRN,Islamic Republic of Iran,"5,628",5.52,4.92,0.09,1.51,100.0
IRQ,Iraq,"5,878",5.46,4.68,0.09,1.56,100.0
ISR,Israel,"41,614",5.75,5.08,0.07,1.53,100.0
ITA,Italy,"34,318",4.07,3.99,0.07,2.36,100.0
JAM,Jamaica,"5,356",5.21,4.39,0.10,1.18,96.0
JOR,Jordan,"4,248",6.02,5.32,0.08,1.41,100.0
JPN,Japan,"39,287",3.61,3.45,0.17,2.05,100.0
KAZ,Kazakhstan,"9,331",3.82,3.69,0.12,4.63,100.0
KEN,Kenya,"1,711",5.78,4.50,0.09,1.38,39.3
KGZ,Kyrgyz Republic,"1,281",4.11,4.11,0.10,2.65,100.0
KHM,Cambodia,"1,512",5.09,4.13,0.10,1.36,36.5
KIR,Kiribati,"1,625",6.13,4.82,0.09,1.19,82.2
KNA,Saint Kitts and Nevis,"19,829",5.58,4.65,0.09,1.23,100.0
KOR,Republic of Korea,"31,363",3.99,3.82,0.10,1.42,100.0
KWT,Kuwait,"34,244",5.68,4.82,0.09,1.31,100.0
LAO,Lao People's Democratic Republic,"2,568",4.48,3.87,0.11,1.62,80.3
LBN,Lebanon,"8,270",5.36,4.83,0.09,1.97,100.0
LBR,Liberia,674,4.88,3.88,0.11,1.41,1.3
LBY,Libya,"7,235",6.13,5.12,0.08,1.33,96.4
LCA,Saint Lucia,"10,315",5.40,4.52,0.09,1.18,98.4
